Entry,Entry Name,Gene Names,Protein names,Organism,Subcellular location [CC],Gene Ontology (cellular component),Gene Ontology IDs,Ensembl
P22314,UBA1_HUMAN,UBA1 A1S9T UBE1,Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:1376922}. Mitochondrion {ECO:0000269|PubMed:1376922}. Nucleus {ECO:0000269|PubMed:1376922, ECO:0000269|PubMed:22456334}.; SUBCELLULAR LOCATION: [Isoform 1]: Nucleus {ECO:0000269|PubMed:33108101, ECO:0000269|PubMed:7528747, ECO:0000269|PubMed:9099746}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:33108101, ECO:0000269|PubMed:7528747}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0003723; GO:0004839; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0006511; GO:0006974; GO:0016567; GO:0070062,ENST00000335972.11 [P22314-1];ENST00000377351.8 [P22314-1];
Q8N539,FBCD1_HUMAN,FIBCD1 UNQ701/PRO1346,Fibrinogen C domain-containing protein 1,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; membrane [GO:0016020],GO:0005615; GO:0008061; GO:0016020; GO:0046872; GO:0062023,ENST00000372338.9 [Q8N539-1];ENST00000448616.5 [Q8N539-1];
Q9H8H0,NOL11_HUMAN,NOL11 L14,Nucleolar protein 11,Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:22916032}.",nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; t-UTP complex [GO:0034455],GO:0003723; GO:0005654; GO:0005730; GO:0030490; GO:0034455; GO:1901838,ENST00000253247.9 [Q9H8H0-1];ENST00000581375.5 [Q9H8H0-2];
O75074,LRP3_HUMAN,LRP3,Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (hLRp105),Homo sapiens (Human),"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Membrane, coated pit {ECO:0000250}.",clathrin-coated pit [GO:0005905]; membrane [GO:0016020]; plasma membrane [GO:0005886],GO:0005886; GO:0005905; GO:0006898; GO:0010628; GO:0010629; GO:0016020; GO:0045599; GO:0045669; GO:0150104,ENST00000253193.9;
P00966,ASSY_HUMAN,ASS1 ASS,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:28985504, ECO:0000305|PubMed:27287393}.",cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204],GO:0000050; GO:0000052; GO:0000053; GO:0001822; GO:0001889; GO:0003723; GO:0004055; GO:0005524; GO:0005654; GO:0005737; GO:0005741; GO:0005829; GO:0006526; GO:0006531; GO:0006953; GO:0007494; GO:0007584; GO:0007623; GO:0009410; GO:0010043; GO:0010046; GO:0015643; GO:0016597; GO:0032355; GO:0042802; GO:0043204; GO:0045429; GO:0060416; GO:0060539; GO:0070062; GO:0070852; GO:0071222; GO:0071230; GO:0071242; GO:0071320; GO:0071346; GO:0071356; GO:0071377; GO:0071400; GO:0071418; GO:0071499; GO:0071549; GO:1903038,ENST00000352480.10;ENST00000372393.7;ENST00000372394.5;
P58004,SESN2_HUMAN,SESN2 Hi95 SEST2,Sestrin-2 (EC 1.11.1.-) (Hypoxia-induced gene),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15105503}.,Atg1/ULK1 kinase complex [GO:1990316]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; mitochondrion [GO:0005739]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]; TORC2 complex [GO:0031932],GO:0001932; GO:0004601; GO:0005092; GO:0005634; GO:0005737; GO:0005739; GO:0005765; GO:0005829; GO:0006111; GO:0006635; GO:0009749; GO:0016239; GO:0016684; GO:0030308; GO:0030330; GO:0031588; GO:0031932; GO:0032042; GO:0032542; GO:0032868; GO:0034198; GO:0034599; GO:0042149; GO:0042593; GO:0042731; GO:0044877; GO:0046323; GO:0051897; GO:0070328; GO:0070728; GO:0071230; GO:0071233; GO:0072593; GO:0098869; GO:0140311; GO:0141161; GO:1900182; GO:1901031; GO:1902010; GO:1903432; GO:1904262; GO:1904263; GO:1904504; GO:1990253; GO:1990316,ENST00000253063.4;ENST00000645231.2;
Q02779,M3K10_HUMAN,MAP3K10 MLK2 MST,Mitogen-activated protein kinase kinase kinase 10 (EC 2.7.11.25) (Mixed lineage kinase 2) (Protein kinase MST),Homo sapiens (Human),,cytoplasm [GO:0005737],GO:0003714; GO:0004672; GO:0004674; GO:0004706; GO:0005524; GO:0005737; GO:0006915; GO:0007165; GO:0007224; GO:0007254; GO:0018105; GO:0018107; GO:0042803; GO:0043065; GO:0043425; GO:0043433; GO:0043507; GO:0045892; GO:0046330; GO:0046777; GO:0106310,ENST00000253055.8;
Q5JVS0,HABP4_HUMAN,HABP4,Intracellular hyaluronan-binding protein 4 (IHABP-4) (IHABP4) (Hyaluronan-binding protein 4) (Ki-1/57 intracellular antigen),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14699138, ECO:0000269|PubMed:16455055, ECO:0000269|PubMed:16879614, ECO:0000269|PubMed:19523114, ECO:0000269|PubMed:9523163}. Cytoplasm {ECO:0000269|PubMed:14699138, ECO:0000269|PubMed:16455055, ECO:0000269|PubMed:16879614, ECO:0000269|PubMed:19523114, ECO:0000269|PubMed:9523163}. Cytoplasm, Stress granule {ECO:0000269|PubMed:21771594}. Cytoplasm, sarcoplasm {ECO:0000250|UniProtKB:A1L1K8}. Nucleus, nuclear body {ECO:0000269|PubMed:19523114}. Nucleus, nucleolus {ECO:0000269|PubMed:19523114}. Nucleus speckle {ECO:0000269|PubMed:19523114}. Nucleus, Cajal body {ECO:0000269|PubMed:19523114}. Nucleus, gem {ECO:0000269|PubMed:19523114}. Note=Transported into the nuclear compartment in activated leukocytes (PubMed:9523163). Inhibition of methylation alters its distribution between the nuclear and cytoplasmic compartments (PubMed:16879614, PubMed:19523114). Methylation may be required for its localization in subnuclear structures, such as nucleoli, nuclear speckles, Cajal bodies and Gemini of coiled bodies (gems) (PubMed:19523114). Colocalizes with FMR1, FXR1 and FXR2 in cytoplasmic stress granules (PubMed:21771594). In myocardial cells, localization at the sarcoplasm is reduced in response to mechanical stress (By similarity). {ECO:0000250|UniProtKB:A1L1K8, ECO:0000269|PubMed:16879614, ECO:0000269|PubMed:19523114, ECO:0000269|PubMed:21771594, ECO:0000269|PubMed:9523163}.",Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular region [GO:0005576]; Gemini of Cajal bodies [GO:0097504]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; sarcomere [GO:0030017]; sarcoplasm [GO:0016528],GO:0003723; GO:0005576; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0006397; GO:0008380; GO:0010494; GO:0015030; GO:0016528; GO:0016607; GO:0030017; GO:0030578; GO:0031965; GO:0032183; GO:0033120; GO:0043022; GO:0045948; GO:0061770; GO:0071260; GO:0097504; GO:0141014,ENST00000375249.5 [Q5JVS0-1];ENST00000375251.7 [Q5JVS0-2];
Q9H4Q4,PRD12_HUMAN,PRDM12 PFM9,PR domain zinc finger protein 12 (PR domain-containing protein 12),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26005867}.,nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000122; GO:0003677; GO:0005634; GO:0005654; GO:0006479; GO:0008168; GO:0008270; GO:0010468; GO:0019233; GO:0022008; GO:0031175; GO:0050965; GO:0140713; GO:1990226,ENST00000253008.3;
Q76EJ3,S35D2_HUMAN,SLC35D2 HFRC UGTREL8,Nucleotide sugar transporter SLC35D2 (Homolog of Fringe connection protein 1) (HFRC1) (SQV7-like protein) (SQV7L) (Solute carrier family 35 member D2) (UDP-galactose transporter-related protein 8) (UGTrel8),Homo sapiens (Human),"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:15082721, ECO:0000269|PubMed:15607426}; Multi-pass membrane protein {ECO:0000255}.",Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139],GO:0000139; GO:0005338; GO:0005461; GO:0005462; GO:0005463; GO:0005794; GO:0015012; GO:0015297; GO:0015780; GO:0018146,ENST00000253270.13 [Q76EJ3-1];ENST00000375259.9 [Q76EJ3-2];
Q9BWQ6,YIPF2_HUMAN,YIPF2,Protein YIPF2 (YIP1 family member 2),Homo sapiens (Human),"SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:27999994}; Multi-pass membrane protein {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:27999994}. Late endosome membrane {ECO:0000269|PubMed:27999994}. Note=Mainly localizes within medial-/trans-Golgi and trans-Golgi network (TGN), while less so within cis-Golgi. {ECO:0000269|PubMed:27999994, ECO:0000269|PubMed:28286305}.",Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; Golgi trans cisterna [GO:0000138]; late endosome membrane [GO:0031902]; trans-Golgi network [GO:0005802]; transport vesicle [GO:0030133],GO:0000138; GO:0005794; GO:0005797; GO:0005802; GO:0016192; GO:0030133; GO:0031267; GO:0031902,ENST00000253031.6;ENST00000586748.6;
Q9H3J6,MTRFR_HUMAN,MTRFR C12orf65 My030,Mitochondrial translation release factor in rescue,Homo sapiens (Human),"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:20186120, ECO:0000269|PubMed:20598281}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],GO:0000049; GO:0005739; GO:0005759; GO:0016149; GO:0043023; GO:0072344,ENST00000253233.6 [Q9H3J6-1];ENST00000366329.7 [Q9H3J6-1];ENST00000425637.3 [Q9H3J6-2];ENST00000429587.2 [Q9H3J6-1];ENST00000536130.2 [Q9H3J6-1];ENST00000538888.6 [Q9H3J6-2];ENST00000543139.2 [Q9H3J6-1];ENST00000546132.2 [Q9H3J6-2];ENST00000679849.1 [Q9H3J6-1];ENST00000680325.1 [Q9H3J6-2];
O43633,CHM2A_HUMAN,CHMP2A BC2 CHMP2,Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:16730941, ECO:0000269|PubMed:17853893}; Peripheral membrane protein {ECO:0000269|PubMed:16730941, ECO:0000269|PubMed:17853893}; Cytoplasmic side {ECO:0000269|PubMed:16730941, ECO:0000269|PubMed:17853893}. Nucleus envelope {ECO:0000269|PubMed:28242692}. Note=Localizes to the midbody of dividing cells. Localized in two distinct rings on either side of the Fleming body. Localizes to the reforming nuclear envelope on chromatin disks during late anaphase (PubMed:28242692). {ECO:0000269|PubMed:28242692}.",amphisome membrane [GO:1904930]; autophagosome membrane [GO:0000421]; chromatin [GO:0000785]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; extracellular exosome [GO:0070062]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; membrane coat [GO:0030117]; midbody [GO:0030496]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; plasma membrane [GO:0005886],GO:0000421; GO:0000776; GO:0000785; GO:0000815; GO:0001778; GO:0005635; GO:0005643; GO:0005765; GO:0005771; GO:0005828; GO:0005829; GO:0005886; GO:0006914; GO:0006997; GO:0007080; GO:0010324; GO:0010458; GO:0010824; GO:0015031; GO:0016020; GO:0016236; GO:0019076; GO:0019904; GO:0030117; GO:0030496; GO:0031210; GO:0031468; GO:0032509; GO:0032585; GO:0036258; GO:0039702; GO:0043162; GO:0045184; GO:0045324; GO:0046761; GO:0051258; GO:0051260; GO:0051469; GO:0061763; GO:0061952; GO:0070062; GO:0071985; GO:0090148; GO:0097352; GO:1901673; GO:1902774; GO:1903543; GO:1903723; GO:1904903; GO:1904930,ENST00000312547.7;ENST00000596708.2;ENST00000597848.2;ENST00000600118.6;ENST00000601220.5;
P30622,CLIP1_HUMAN,CLIP1 CYLN1 RSN,CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:17889670, ECO:0000269|PubMed:21646404}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:12433698}; Peripheral membrane protein; Cytoplasmic side. Cell projection, ruffle {ECO:0000269|PubMed:12433698}. Note=Localizes to microtubule plus ends (PubMed:17889670, PubMed:21646404). Localizes preferentially to the ends of tyrosinated microtubules (By similarity). Accumulates in plasma membrane regions with ruffling and protrusions. Associates with the membranes of intermediate macropinocytic vesicles (PubMed:12433698). {ECO:0000250|UniProtKB:Q922J3, ECO:0000269|PubMed:12433698, ECO:0000269|PubMed:17889670, ECO:0000269|PubMed:21646404}.",cell cortex [GO:0005938]; centrosome [GO:0005813]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; intermediate filament [GO:0005882]; kinetochore [GO:0000776]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle [GO:0001726],GO:0000278; GO:0000776; GO:0001578; GO:0001726; GO:0005634; GO:0005813; GO:0005829; GO:0005874; GO:0005882; GO:0005886; GO:0005938; GO:0008017; GO:0008270; GO:0015630; GO:0015631; GO:0030659; GO:0031116; GO:0031122; GO:0042802; GO:0051010,ENST00000302528.11 [P30622-1];ENST00000358808.6 [P30622-1];ENST00000537178.5 [P30622-2];ENST00000620786.5 [P30622-3];
Q6P9F0,CCD62_HUMAN,CCDC62,Coiled-coil domain-containing protein 62 (Protein TSP-NY) (Protein aaa),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19126643}. Nucleus {ECO:0000269|PubMed:19126643}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:28339613}. Note=Mainly nuclear.",acrosomal vesicle [GO:0001669]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634],GO:0001669; GO:0001835; GO:0003713; GO:0005634; GO:0005815; GO:0007286; GO:0030331; GO:0030520; GO:0045944; GO:0071392,ENST00000253079.11 [Q6P9F0-1];ENST00000341952.8 [Q6P9F0-2];ENST00000392441.8 [Q6P9F0-2];ENST00000537566.5 [Q6P9F0-3];
Q00013,EM55_HUMAN,MPP1 DXS552E EMP55,"55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19144871}; Lipid-anchor {ECO:0000305|PubMed:1713685}. Cell projection, stereocilium {ECO:0000250|UniProtKB:P70290}. Note=Colocalizes with WHRN at stereocilium tip during hair cell development (By similarity). Colocalizes with PALS1 in the retina, at the outer limiting membrane (OLM) (By similarity). Colocalizes with WHRN in the retina, at the outer limiting membrane (OLM), outer plexifirm layer (OPL), basal bodies and at the connecting cilium (CC) (By similarity). Colocalizes with NF2 in non-myelin-forming Schwann cells (PubMed:19144871). {ECO:0000250|UniProtKB:P70290, ECO:0000269|PubMed:19144871}.",cell-cell junction [GO:0005911]; centriolar satellite [GO:0034451]; cortical cytoskeleton [GO:0030863]; membrane [GO:0016020]; plasma membrane [GO:0005886]; stereocilium [GO:0032420],GO:0004385; GO:0005102; GO:0005886; GO:0005911; GO:0007165; GO:0016020; GO:0030863; GO:0032420; GO:0034451; GO:0090022,ENST00000369534.8 [Q00013-1];ENST00000393531.5 [Q00013-3];ENST00000413259.7 [Q00013-2];
Q86TL0,ATG4D_HUMAN,ATG4D APG4D AUTL4,"Cysteine protease ATG4D (EC 3.4.22.-) (AUT-like 4 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 4) (Autophagin-4) (Autophagy-related protein 4 homolog D) (HsAPG4D) [Cleaved into: Cysteine protease ATG4D, mitochondrial]",Homo sapiens (Human),"SUBCELLULAR LOCATION: [Cysteine protease ATG4D]: Cytoplasm {ECO:0000269|PubMed:19549685}.; SUBCELLULAR LOCATION: [Cysteine protease ATG4D, mitochondrial]: Cytoplasm {ECO:0000269|PubMed:19549685}. Mitochondrion matrix {ECO:0000269|PubMed:19549685, ECO:0000269|PubMed:22441018}. Note=Imported into mitochondrial matrix after cleavage by CASP3 during oxidative stress and cell death. {ECO:0000269|PubMed:22441018}.",cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],GO:0000045; GO:0000423; GO:0004197; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0006508; GO:0006914; GO:0006915; GO:0008234; GO:0015031; GO:0016485; GO:0019786; GO:0034497; GO:0034727; GO:0035973; GO:0051697; GO:0070004,ENST00000309469.9 [Q86TL0-1];
Q96PQ6,ZN317_HUMAN,ZNF317 KIAA1588,Zinc finger protein 317,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,nucleus [GO:0005634],GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0008270,ENST00000247956.11 [Q96PQ6-1];ENST00000360385.7 [Q96PQ6-2];
O75821,EIF3G_HUMAN,EIF3G EIF3S4,Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03006}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03006, ECO:0000269|PubMed:17094969}. Cytoplasm, perinuclear region {ECO:0000255|HAMAP-Rule:MF_03006, ECO:0000269|PubMed:17094969}. Note=Colocalizes with AIFM1 in the nucleus and perinuclear region.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; perinuclear region of cytoplasm [GO:0048471],GO:0001732; GO:0003723; GO:0003743; GO:0005737; GO:0005829; GO:0005852; GO:0006413; GO:0016282; GO:0033290; GO:0048471; GO:0075525,ENST00000253108.9;
Q5TEJ8,THMS2_HUMAN,THEMIS2 C1orf38 ICB1,Protein THEMIS2 (Induced by contact to basement membrane 1 protein) (Protein ICB-1) (Thymocyte-expressed molecule involved in selection protein 2),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q91YX0}. Cytoplasm {ECO:0000250|UniProtKB:Q91YX0}.,cytoplasm [GO:0005737]; nucleus [GO:0005634],GO:0005634; GO:0005737; GO:0006954; GO:0007155; GO:0050852; GO:0050864,ENST00000328928.11 [Q5TEJ8-5];ENST00000373921.8 [Q5TEJ8-1];ENST00000373925.5 [Q5TEJ8-2];ENST00000373927.7 [Q5TEJ8-4];
Q6P2M8,KCC1B_HUMAN,PNCK,Calcium/calmodulin-dependent protein kinase type 1B (EC 2.7.11.17) (CaM kinase I beta) (CaM kinase IB) (CaM-KI beta) (CaMKI-beta) (Pregnancy up-regulated non-ubiquitously-expressed CaM kinase),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,cytoplasm [GO:0005737]; nucleus [GO:0005634],GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0106310,ENST00000340888.8 [Q6P2M8-1];ENST00000370142.5 [Q6P2M8-2];ENST00000370145.8 [Q6P2M8-6];ENST00000370150.5 [Q6P2M8-1];ENST00000447676.6 [Q6P2M8-5];
Q9HA47,UCK1_HUMAN,UCK1 URK1,Uridine-cytidine kinase 1 (UCK 1) (EC 2.7.1.48) (Cytidine monophosphokinase 1) (Uridine monophosphokinase 1),Homo sapiens (Human),,cytoplasm [GO:0005737]; cytosol [GO:0005829],GO:0004849; GO:0005524; GO:0005737; GO:0005829; GO:0043771; GO:0044206; GO:0044211,ENST00000372208.7 [Q9HA47-2];ENST00000372210.7 [Q9HA47-3];ENST00000372211.7 [Q9HA47-4];ENST00000372215.5 [Q9HA47-1];
Q13868,EXOS2_HUMAN,EXOSC2 RRP4,Exosome complex component RRP4 (Exosome component 2) (Ribosomal RNA-processing protein 4),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm. Nucleus, nucleolus. Nucleus.",cytoplasm [GO:0005737]; cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nucleolar exosome (RNase complex) [GO:0101019]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000175; GO:0000176; GO:0000177; GO:0000178; GO:0000467; GO:0000956; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006364; GO:0006396; GO:0006401; GO:0008312; GO:0030307; GO:0034475; GO:0071034; GO:0071035; GO:0071038; GO:0071051; GO:0101019,ENST00000372351.7 [Q13868-3];ENST00000372358.10 [Q13868-1];ENST00000546165.6 [Q13868-2];ENST00000691284.1 [Q13868-1];
Q86V15,CASZ1_HUMAN,CASZ1 CST SRG ZNF693,Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16631614}.,chromatin [GO:0000785]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000785; GO:0000977; GO:0000981; GO:0001228; GO:0005634; GO:0005654; GO:0005829; GO:0008270; GO:0043231; GO:0045664; GO:0045893; GO:0045944,ENST00000344008.5 [Q86V15-2];ENST00000377022.8 [Q86V15-1];
Q9NUL5,SHFL_HUMAN,SHFL C19orf66 FLJ11286 IRAV RYDEN SFL,Shiftless antiviral inhibitor of ribosomal frameshifting protein (SFL) (SHFL) (Interferon-regulated antiviral protein) (IRAV) (Repressor of yield of DENV protein) (RyDEN),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26735137, ECO:0000269|PubMed:32150556}. Nucleus {ECO:0000269|PubMed:26735137}. Cytoplasm, P-body {ECO:0000269|PubMed:27974568}. Note=Predominantly found in the cytoplasm (PubMed:26735137). After infection, relocalizes to the DENV replication complex in perinuclear regions (PubMed:27974568). {ECO:0000269|PubMed:26735137, ECO:0000269|PubMed:27974568}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932],GO:0000932; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006449; GO:0034340; GO:0034341; GO:0034342; GO:0035456; GO:0042802; GO:0043022; GO:0045071; GO:0045087; GO:0051607; GO:0075523; GO:1990825; GO:2001125,ENST00000253110.16 [Q9NUL5-1];ENST00000397881.7 [Q9NUL5-2];ENST00000591813.5 [Q9NUL5-4];
Q9UII2,ATIF1_HUMAN,ATP5IF1 ATPI ATPIF1,"ATPase inhibitor, mitochondrial (ATP synthase F1 subunit epsilon) (Inhibitor of F(1)F(o)-ATPase) (IF(1)) (IF1)",Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12110673}.,cell surface [GO:0009986]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991],GO:0001525; GO:0001937; GO:0004857; GO:0005516; GO:0005737; GO:0005739; GO:0006091; GO:0006783; GO:0009986; GO:0019899; GO:0030218; GO:0032991; GO:0042030; GO:0042802; GO:0043532; GO:0051117; GO:0051346; GO:0051882; GO:0072593; GO:0140260; GO:1901030; GO:1903052; GO:1903214; GO:1903578; GO:1905091; GO:1905707,ENST00000335514.10 [Q9UII2-1];ENST00000465645.1 [Q9UII2-3];ENST00000497986.5 [Q9UII2-2];ENST00000642464.1 [Q9UII2-2];ENST00000647074.2 [Q9UII2-1];ENST00000647380.1 [Q9UII2-3];
